Genus,Species,Longitude,Latitude
Phascolarctos,Phascolarctos cinereus,152.7297106,-30.18316116
Phascolarctos,Phascolarctos cinereus,151.8413106,-32.79279499
Phascolarctos,Phascolarctos cinereus,152.7620535,-30.23195492
Phascolarctos,Phascolarctos cinereus,138.7289572,-34.94308093
Phascolarctos,Phascolarctos cinereus,153.5164913,-28.58857304
Phascolarctos,Phascolarctos cinereus,153.2154751,-27.49284192
Phascolarctos,Phascolarctos cinereus,145.173,-37.057
Phascolarctos,Phascolarctos cinereus,138.75884,-34.797069
Phascolarctos,Phascolarctos cinereus,144.903,-37.468
Phascolarctos,Phascolarctos cinereus,150.1523305,-34.50294486
Phascolarctos,Phascolarctos cinereus,141.5083,-37.9309
Phascolarctos,Phascolarctos cinereus,152.5518183,-31.3135297
Phascolarctos,Phascolarctos cinereus,153.297456,-29.004034
Phascolarctos,Phascolarctos cinereus,152.0341792,-32.73309447
Phascolarctos,Phascolarctos cinereus,150.127725,-34.49054
Phascolarctos,Phascolarctos cinereus,152.8145691,-31.57199772
Phascolarctos,Phascolarctos cinereus,152.884141,-31.43567399
Phascolarctos,Phascolarctos cinereus,150.153553,-34.50093617
Phascolarctos,Phascolarctos cinereus,152.1791835,-32.6765904
Phascolarctos,Phascolarctos cinereus,152.9093041,-31.44407627
Phascolarctos,Phascolarctos cinereus,150.798339,-34.111022
Phascolarctos,Phascolarctos cinereus,152.8961176,-31.43443012
Phascolarctos,Phascolarctos cinereus,152.9172784,-31.45933886
Phascolarctos,Phascolarctos cinereus,152.7237236,-30.17714752
Phascolarctos,Phascolarctos cinereus,151.8030982,-29.6067757
Phascolarctos,Phascolarctos cinereus,153.280052,-28.874002
Phascolarctos,Phascolarctos cinereus,152.8909961,-31.45901242
Phascolarctos,Phascolarctos cinereus,153.0786667,-30.39982205
Phascolarctos,Phascolarctos cinereus,152.7955211,-30.07959063
Phascolarctos,Phascolarctos cinereus,152.0394761,-32.7367433
Phascolarctos,Phascolarctos cinereus,145.1779,-38.3864
Phascolarctos,Phascolarctos cinereus,152.346424,-31.966332
Phascolarctos,Phascolarctos cinereus,152.852053,-30.50822224
Phascolarctos,Phascolarctos cinereus,153.5555494,-28.59976364
Phascolarctos,Phascolarctos cinereus,146.869337,-19.125004
Phascolarctos,Phascolarctos cinereus,152.908188,-28.999985
Phascolarctos,Phascolarctos cinereus,153.483264,-28.808542
Phascolarctos,Phascolarctos cinereus,150.7948629,-34.16259915
Phascolarctos,Phascolarctos cinereus,148.1443172,-22.47617089
Phascolarctos,Phascolarctos cinereus,152.1811243,-32.6758717
Phascolarctos,Phascolarctos cinereus,153.3587512,-29.40772456
Phascolarctos,Phascolarctos cinereus,150.254037,-30.995041
Phascolarctos,Phascolarctos cinereus,152.7929164,-30.08464022
Phascolarctos,Phascolarctos cinereus,150.5149692,-34.47018871
Phascolarctos,Phascolarctos cinereus,152.065253,-32.710718
Phascolarctos,Phascolarctos cinereus,138.751442,-35.001487
Phascolarctos,Phascolarctos cinereus,153.228487,-27.502979
Phascolarctos,Phascolarctos cinereus,153.4550781,-28.30590138
Phascolarctos,Phascolarctos cinereus,151.313311,-33.65617354
Phascolarctos,Phascolarctos cinereus,152.0400672,-32.67275037
Phascolarctos,Phascolarctos cinereus,152.0266407,-32.73935029
Phascolarctos,Phascolarctos cinereus,138.70354,-34.874314
Phascolarctos,Phascolarctos cinereus,150.1255139,-34.53300026
Phascolarctos,Phascolarctos cinereus,152.8698207,-29.67699206
Phascolarctos,Phascolarctos cinereus,152.1966233,-32.23596366
Phascolarctos,Phascolarctos cinereus,152.6713511,-31.43544949
Phascolarctos,Phascolarctos cinereus,151.86198,-32.77225
Phascolarctos,Phascolarctos cinereus,151.9969616,-32.7210757
Phascolarctos,Phascolarctos cinereus,149.7979596,-36.6510995
Phascolarctos,Phascolarctos cinereus,152.182251,-32.676781
Phascolarctos,Phascolarctos cinereus,150.1663222,-34.45404375
Phascolarctos,Phascolarctos cinereus,146.7261887,-38.47556468
Phascolarctos,Phascolarctos cinereus,152.6,-27.5
Phascolarctos,Phascolarctos cinereus,151.7797262,-32.76695421
Phascolarctos,Phascolarctos cinereus,152.877435,-31.424321
Phascolarctos,Phascolarctos cinereus,153.4239582,-28.2079715
Phascolarctos,Phascolarctos cinereus,153.5164913,-28.58857304
Phascolarctos,Phascolarctos cinereus,152.9052482,-31.479514
Phascolarctos,Phascolarctos cinereus,138.6968,-34.9667
Phascolarctos,Phascolarctos cinereus,150.7889978,-34.21713975
Phascolarctos,Phascolarctos cinereus,151.7594825,-32.76404937
Phascolarctos,Phascolarctos cinereus,153.272081,-28.93147
Phascolarctos,Phascolarctos cinereus,153.03499,-30.415
Phascolarctos,Phascolarctos cinereus,152.8109247,-29.80946158
Phascolarctos,Phascolarctos cinereus,151.5189056,-30.52075708
Phascolarctos,Phascolarctos cinereus,145.0092558,-38.37381556
Phascolarctos,Phascolarctos cinereus,149.757866,-37.559667
Phascolarctos,Phascolarctos cinereus,150.1672361,-34.45437143
Phascolarctos,Phascolarctos cinereus,145.8109,-36.7569
Phascolarctos,Phascolarctos cinereus,150.5388681,-34.38058297
Phascolarctos,Phascolarctos cinereus,151.2690851,-33.0728519
Phascolarctos,Phascolarctos cinereus,144.5950341,-37.33193151
Phascolarctos,Phascolarctos cinereus,152.071509,-32.724476
Phascolarctos,Phascolarctos cinereus,152.0310657,-32.72495222
Phascolarctos,Phascolarctos cinereus,138.707826,-34.914913
Phascolarctos,Phascolarctos cinereus,150.1598956,-34.50237292
Phascolarctos,Phascolarctos cinereus,150.7243178,-34.25565333
Phascolarctos,Phascolarctos cinereus,151.8579613,-32.74333822
Phascolarctos,Phascolarctos cinereus,150.1112595,-31.18599771
Phascolarctos,Phascolarctos cinereus,145,-38.37
Phascolarctos,Phascolarctos cinereus,153.28171,-27.525893
Phascolarctos,Phascolarctos cinereus,152.9587599,-30.55971783
Phascolarctos,Phascolarctos cinereus,152.0434,-32.7666
Phascolarctos,Phascolarctos cinereus,138.680656,-34.97572
Phascolarctos,Phascolarctos cinereus,150.5364548,-34.40949153
Phascolarctos,Phascolarctos cinereus,152.164491,-32.669369
Phascolarctos,Phascolarctos cinereus,152.8337491,-31.5840472
Phascolarctos,Phascolarctos cinereus,141.7253,-36.8409
Phascolarctos,Phascolarctos cinereus,152.9854679,-30.3982138
Phascolarctos,Phascolarctos cinereus,153.5650675,-28.63390892
Phascolarctos,Phascolarctos cinereus,152.8847457,-31.46994963
Phascolarctos,Phascolarctos cinereus,144.4488572,-37.80179022
Phascolarctos,Phascolarctos cinereus,152.8260752,-30.27089573
Phascolarctos,Phascolarctos cinereus,141.5043,-38.1806
Phascolarctos,Phascolarctos cinereus,152.170619,-32.662746
Phascolarctos,Phascolarctos cinereus,152.833,-27.2
Phascolarctos,Phascolarctos cinereus,152.5793176,-31.31432654
Phascolarctos,Phascolarctos cinereus,150.161746,-30.29161207
Phascolarctos,Phascolarctos cinereus,150.7008793,-34.27943232
Phascolarctos,Phascolarctos cinereus,151.5238827,-32.15752449
Phascolarctos,Phascolarctos cinereus,152.8499889,-31.45850178
Phascolarctos,Phascolarctos cinereus,150.8496199,-34.07723969
Phascolarctos,Phascolarctos cinereus,153.18742,-27.48146
Phascolarctos,Phascolarctos cinereus,151.8668226,-32.80204855
Phascolarctos,Phascolarctos cinereus,149.6594181,-36.84983684
Phascolarctos,Phascolarctos cinereus,150.2093403,-34.5362982
Phascolarctos,Phascolarctos cinereus,150.8302934,-34.14454908
Phascolarctos,Phascolarctos cinereus,153.2546683,-28.90653281
Phascolarctos,Phascolarctos cinereus,153.3778039,-28.35753458
Phascolarctos,Phascolarctos cinereus,153.391151,-28.662096
Phascolarctos,Phascolarctos cinereus,152.9210804,-31.48172624
Phascolarctos,Phascolarctos cinereus,150.821666,-34.131768
Phascolarctos,Phascolarctos cinereus,152.8891028,-31.44890551
Phascolarctos,Phascolarctos cinereus,146.5429,-38.4568
Phascolarctos,Phascolarctos cinereus,153.557663,-28.411999
Phascolarctos,Phascolarctos cinereus,147.7128,-37.6756
Phascolarctos,Phascolarctos cinereus,153.231599,-28.443792
Phascolarctos,Phascolarctos cinereus,152.0266603,-32.73754639
Phascolarctos,Phascolarctos cinereus,152.029907,-32.738206
Phascolarctos,Phascolarctos cinereus,153.0853733,-30.36209077
Phascolarctos,Phascolarctos cinereus,150.1593173,-34.49182188
Phascolarctos,Phascolarctos cinereus,144.25,-37.83
Phascolarctos,Phascolarctos cinereus,138.57947,-34.912745
Phascolarctos,Phascolarctos cinereus,138.583219,-35.081371
Phascolarctos,Phascolarctos cinereus,152.9213499,-31.46167828
Phascolarctos,Phascolarctos cinereus,151.8427758,-32.7621408
Phascolarctos,Phascolarctos cinereus,153.0690848,-30.41194122
Phascolarctos,Phascolarctos cinereus,153.0069642,-30.54269617
Phascolarctos,Phascolarctos cinereus,138.6,-34.9
Phascolarctos,Phascolarctos cinereus,143.8391,-37.7094
Phascolarctos,Phascolarctos cinereus,151.7276672,-32.82416228
Phascolarctos,Phascolarctos cinereus,152.8480168,-31.54546739
Phascolarctos,Phascolarctos cinereus,153.5576741,-28.41175093
Phascolarctos,Phascolarctos cinereus,148.9482744,-32.55983609
Phascolarctos,Phascolarctos cinereus,152.1074232,-32.45849813
Phascolarctos,Phascolarctos cinereus,146.5903299,-34.77091173
Phascolarctos,Phascolarctos cinereus,153.282054,-27.526896
Phascolarctos,Phascolarctos cinereus,137.0086,-35.9139
Phascolarctos,Phascolarctos cinereus,153.2256711,-28.40703183
Phascolarctos,Phascolarctos cinereus,148.7271015,-36.45616554
Phascolarctos,Phascolarctos cinereus,138.69594,-34.96617
Phascolarctos,Phascolarctos cinereus,152.1797553,-32.6774273
Phascolarctos,Phascolarctos cinereus,150.3723918,-34.55140872
Phascolarctos,Phascolarctos cinereus,141.2566,-37.5496
Phascolarctos,Phascolarctos cinereus,150.0011029,-25.74841914
Phascolarctos,Phascolarctos cinereus,151.9360957,-32.63488221
Phascolarctos,Phascolarctos cinereus,151.7445263,-32.76480223
Phascolarctos,Phascolarctos cinereus,152.923715,-31.45272931
Phascolarctos,Phascolarctos cinereus,152.088515,-32.729697
Phascolarctos,Phascolarctos cinereus,145.1779,-38.3864
Phascolarctos,Phascolarctos cinereus,150.7842395,-34.21358264
Phascolarctos,Phascolarctos cinereus,153.441,-27.39533333
Phascolarctos,Phascolarctos cinereus,145.1779,-38.3864
Phascolarctos,Phascolarctos cinereus,151.8597391,-32.77131637
Phascolarctos,Phascolarctos cinereus,151.9911542,-28.54157576
Phascolarctos,Phascolarctos cinereus,145.4473,-38.3137
Phascolarctos,Phascolarctos cinereus,144.3483,-37.4884
Phascolarctos,Phascolarctos cinereus,152.039039,-32.734662
Phascolarctos,Phascolarctos cinereus,153.0599275,-30.27249541
Phascolarctos,Phascolarctos cinereus,141.7194,-38.2369
Phascolarctos,Phascolarctos cinereus,153.3835303,-28.6702847
Phascolarctos,Phascolarctos cinereus,138.640333,-34.978182
Phascolarctos,Phascolarctos cinereus,152.0373515,-32.73582497
Phascolarctos,Phascolarctos cinereus,153.3752628,-28.63730992
Phascolarctos,Phascolarctos cinereus,152.8525751,-30.50759116
Phascolarctos,Phascolarctos cinereus,152.1818557,-32.6765002
Phascolarctos,Phascolarctos cinereus,153.4722523,-28.31195601
Phascolarctos,Phascolarctos cinereus,153.4725064,-28.33171759
Phascolarctos,Phascolarctos cinereus,150.2328642,-31.01699027
Phascolarctos,Phascolarctos cinereus,145.2544,-37.5287
Phascolarctos,Phascolarctos cinereus,151.7466864,-32.76301992
Phascolarctos,Phascolarctos cinereus,150.57611,-34.53606566
Phascolarctos,Phascolarctos cinereus,152.926243,-31.463784
Phascolarctos,Phascolarctos cinereus,145.513,-36.758
Phascolarctos,Phascolarctos cinereus,153.343127,-28.807099
Phascolarctos,Phascolarctos cinereus,153.3566929,-29.40863261
Phascolarctos,Phascolarctos cinereus,149.8204375,-37.12637764
Phascolarctos,Phascolarctos cinereus,150.2023979,-34.50776229
Phascolarctos,Phascolarctos cinereus,152.7925082,-30.86738767
Phascolarctos,Phascolarctos cinereus,153.341491,-28.805686
Phascolarctos,Phascolarctos cinereus,151.7068493,-32.82374493
Phascolarctos,Phascolarctos cinereus,150.2003428,-30.95791019
Phascolarctos,Phascolarctos cinereus,146.37,-39
Phascolarctos,Phascolarctos cinereus,150.64298,-34.27343
Phascolarctos,Phascolarctos cinereus,152.114428,-32.779063
Phascolarctos,Phascolarctos cinereus,149.479312,-33.61610734
Phascolarctos,Phascolarctos cinereus,141.438,-37.98
Phascolarctos,Phascolarctos cinereus,153.0125376,-30.42438348
Phascolarctos,Phascolarctos cinereus,138.674448,-34.932346
Phascolarctos,Phascolarctos cinereus,150.36457,-30.63391
Phascolarctos,Phascolarctos cinereus,152.407566,-31.93243678
Phascolarctos,Phascolarctos cinereus,138.66667,-35.01972
Phascolarctos,Phascolarctos cinereus,153.472932,-28.863295
